[INFO] BRISK on CPU
elapsed time: 0.0147368; featured found: 123; features tracked: 51
elapsed time: 0.0145918; featured found: 113; features tracked: 36
elapsed time: 0.0146681; featured found: 129; features tracked: 38
elapsed time: 0.0150033; featured found: 127; features tracked: 38
elapsed time: 0.0149363; featured found: 135; features tracked: 39
elapsed time: 0.01483; featured found: 125; features tracked: 46
elapsed time: 0.0146722; featured found: 131; features tracked: 41
elapsed time: 0.0150053; featured found: 135; features tracked: 38
elapsed time: 0.0160881; featured found: 136; features tracked: 44
elapsed time: 0.0152523; featured found: 139; features tracked: 42
elapsed time: 0.0147883; featured found: 146; features tracked: 45
elapsed time: 0.0150415; featured found: 147; features tracked: 47
elapsed time: 0.0148515; featured found: 148; features tracked: 43
elapsed time: 0.0136271; featured found: 122; features tracked: 37
elapsed time: 0.0146761; featured found: 156; features tracked: 31
elapsed time: 0.0140935; featured found: 138; features tracked: 39
elapsed time: 0.013908; featured found: 140; features tracked: 39
elapsed time: 0.0148437; featured found: 144; features tracked: 35
elapsed time: 0.0137922; featured found: 112; features tracked: 30
elapsed time: 0.013641; featured found: 116; features tracked: 31
elapsed time: 0.0138377; featured found: 113; features tracked: 34
elapsed time: 0.0143343; featured found: 120; features tracked: 38
elapsed time: 0.0146092; featured found: 114; features tracked: 36
elapsed time: 0.015112; featured found: 134; features tracked: 31
elapsed time: 0.0150305; featured found: 149; features tracked: 40
elapsed time: 0.015081; featured found: 146; features tracked: 46
elapsed time: 0.0152164; featured found: 145; features tracked: 48
elapsed time: 0.0154445; featured found: 163; features tracked: 61
elapsed time: 0.0152794; featured found: 157; features tracked: 54
elapsed time: 0.0152801; featured found: 155; features tracked: 49
elapsed time: 0.0151558; featured found: 154; features tracked: 44
elapsed time: 0.0151859; featured found: 170; features tracked: 49
elapsed time: 0.0158773; featured found: 158; features tracked: 50
elapsed time: 0.0154279; featured found: 169; features tracked: 54
elapsed time: 0.0164808; featured found: 183; features tracked: 46
elapsed time: 0.0155683; featured found: 174; features tracked: 57
elapsed time: 0.0154006; featured found: 168; features tracked: 44
elapsed time: 0.0158409; featured found: 187; features tracked: 43
elapsed time: 0.0155572; featured found: 167; features tracked: 44
elapsed time: 0.0157186; featured found: 182; features tracked: 52
elapsed time: 0.0158086; featured found: 154; features tracked: 42
elapsed time: 0.0162038; featured found: 171; features tracked: 40
elapsed time: 0.0160715; featured found: 196; features tracked: 55
elapsed time: 0.0170434; featured found: 178; features tracked: 52
elapsed time: 0.0160387; featured found: 191; features tracked: 56
elapsed time: 0.0153648; featured found: 179; features tracked: 62
elapsed time: 0.0152346; featured found: 174; features tracked: 58
elapsed time: 0.0154475; featured found: 170; features tracked: 26
elapsed time: 0.0148279; featured found: 140; features tracked: 39
elapsed time: 0.0152099; featured found: 146; features tracked: 38
elapsed time: 0.0154502; featured found: 138; features tracked: 39
elapsed time: 0.0158136; featured found: 153; features tracked: 30
elapsed time: 0.0153332; featured found: 159; features tracked: 46
elapsed time: 0.0150128; featured found: 144; features tracked: 43
elapsed time: 0.0152346; featured found: 151; features tracked: 49
elapsed time: 0.0162789; featured found: 147; features tracked: 46
elapsed time: 0.0157856; featured found: 151; features tracked: 49
elapsed time: 0.0154068; featured found: 158; features tracked: 48
elapsed time: 0.015293; featured found: 156; features tracked: 46
elapsed time: 0.0149024; featured found: 132; features tracked: 45
elapsed time: 0.0153916; featured found: 136; features tracked: 41
elapsed time: 0.0149741; featured found: 135; features tracked: 46
elapsed time: 0.0152731; featured found: 139; features tracked: 41
elapsed time: 0.0145642; featured found: 142; features tracked: 42
elapsed time: 0.0147483; featured found: 146; features tracked: 43
elapsed time: 0.0161936; featured found: 131; features tracked: 40
elapsed time: 0.0152716; featured found: 147; features tracked: 43
elapsed time: 0.0164618; featured found: 163; features tracked: 54
elapsed time: 0.0153686; featured found: 141; features tracked: 58
elapsed time: 0.0150904; featured found: 152; features tracked: 56
elapsed time: 0.0148784; featured found: 144; features tracked: 57
elapsed time: 0.0162055; featured found: 163; features tracked: 47
elapsed time: 0.0149761; featured found: 156; features tracked: 61
elapsed time: 0.0146465; featured found: 156; features tracked: 51
elapsed time: 0.0144362; featured found: 162; features tracked: 49
elapsed time: 0.0145157; featured found: 148; features tracked: 51
elapsed time: 0.0147054; featured found: 163; features tracked: 51
elapsed time: 0.014553; featured found: 166; features tracked: 38
elapsed time: 0.0140359; featured found: 129; features tracked: 48
elapsed time: 0.0142917; featured found: 134; features tracked: 45
elapsed time: 0.0139108; featured found: 133; features tracked: 51
elapsed time: 0.0144823; featured found: 136; features tracked: 42
elapsed time: 0.0141766; featured found: 142; features tracked: 45
elapsed time: 0.0138279; featured found: 142; features tracked: 54
elapsed time: 0.0146424; featured found: 167; features tracked: 51
elapsed time: 0.0146054; featured found: 157; features tracked: 60
elapsed time: 0.0147533; featured found: 163; features tracked: 59
elapsed time: 0.0149155; featured found: 179; features tracked: 77
elapsed time: 0.0144933; featured found: 177; features tracked: 61
