[INFO] Shi-Tomasi + FREAK on CPU
elapsed time: 0.0466511; featured found: 30; features tracked: 15
elapsed time: 0.046195; featured found: 32; features tracked: 13
elapsed time: 0.0458734; featured found: 22; features tracked: 9
elapsed time: 0.046122; featured found: 10; features tracked: 12
elapsed time: 0.0461696; featured found: 9; features tracked: 5
elapsed time: 0.0457564; featured found: 23; features tracked: 7
elapsed time: 0.0464563; featured found: 22; features tracked: 13
elapsed time: 0.0464971; featured found: 16; features tracked: 11
elapsed time: 0.0477334; featured found: 48; features tracked: 9
elapsed time: 0.0464643; featured found: 23; features tracked: 19
elapsed time: 0.0460742; featured found: 16; features tracked: 10
elapsed time: 0.0461342; featured found: 28; features tracked: 11
elapsed time: 0.0463556; featured found: 18; features tracked: 13
elapsed time: 0.0462215; featured found: 28; features tracked: 12
elapsed time: 0.0462847; featured found: 49; features tracked: 11
elapsed time: 0.0460209; featured found: 15; features tracked: 16
elapsed time: 0.0462082; featured found: 25; features tracked: 9
elapsed time: 0.0460946; featured found: 22; features tracked: 11
elapsed time: 0.0471742; featured found: 69; features tracked: 9
elapsed time: 0.0472264; featured found: 38; features tracked: 17
elapsed time: 0.0465594; featured found: 16; features tracked: 8
elapsed time: 0.0458742; featured found: 7; features tracked: 6
elapsed time: 0.0458724; featured found: 8; features tracked: 4
elapsed time: 0.0462193; featured found: 30; features tracked: 4
elapsed time: 0.0463095; featured found: 27; features tracked: 17
elapsed time: 0.0456349; featured found: 8; features tracked: 7
elapsed time: 0.0460045; featured found: 18; features tracked: 5
elapsed time: 0.0463377; featured found: 29; features tracked: 9
elapsed time: 0.0463126; featured found: 36; features tracked: 13
elapsed time: 0.047103; featured found: 44; features tracked: 18
elapsed time: 0.0462952; featured found: 14; features tracked: 12
elapsed time: 0.0463891; featured found: 43; features tracked: 6
elapsed time: 0.0463551; featured found: 19; features tracked: 12
elapsed time: 0.0460468; featured found: 6; features tracked: 3
elapsed time: 0.0461498; featured found: 12; features tracked: 1
elapsed time: 0.0463558; featured found: 7; features tracked: 5
elapsed time: 0.0461352; featured found: 7; features tracked: 5
elapsed time: 0.0457536; featured found: 8; features tracked: 4
elapsed time: 0.0458894; featured found: 13; features tracked: 4
elapsed time: 0.0460403; featured found: 7; features tracked: 4
elapsed time: 0.0458799; featured found: 26; features tracked: 4
elapsed time: 0.0460295; featured found: 17; features tracked: 13
elapsed time: 0.0460826; featured found: 41; features tracked: 10
elapsed time: 0.0463882; featured found: 14; features tracked: 8
elapsed time: 0.0464656; featured found: 61; features tracked: 5
elapsed time: 0.047034; featured found: 25; features tracked: 14
elapsed time: 0.0479072; featured found: 56; features tracked: 12
elapsed time: 0.0474005; featured found: 46; features tracked: 21
elapsed time: 0.046961; featured found: 48; features tracked: 14
elapsed time: 0.0460185; featured found: 27; features tracked: 14
elapsed time: 0.0463788; featured found: 12; features tracked: 14
elapsed time: 0.0465006; featured found: 74; features tracked: 6
elapsed time: 0.0469905; featured found: 40; features tracked: 23
elapsed time: 0.045991; featured found: 19; features tracked: 7
elapsed time: 0.0461669; featured found: 41; features tracked: 11
elapsed time: 0.04696; featured found: 46; features tracked: 14
elapsed time: 0.0467249; featured found: 36; features tracked: 16
elapsed time: 0.0467085; featured found: 38; features tracked: 5
elapsed time: 0.0458597; featured found: 29; features tracked: 17
elapsed time: 0.0470186; featured found: 65; features tracked: 12
elapsed time: 0.0461138; featured found: 21; features tracked: 15
elapsed time: 0.0459513; featured found: 39; features tracked: 5
elapsed time: 0.046256; featured found: 24; features tracked: 15
elapsed time: 0.0465129; featured found: 31; features tracked: 15
elapsed time: 0.0467108; featured found: 53; features tracked: 16
elapsed time: 0.0467366; featured found: 21; features tracked: 11
elapsed time: 0.0461852; featured found: 30; features tracked: 10
elapsed time: 0.0462884; featured found: 9; features tracked: 8
elapsed time: 0.045896; featured found: 13; features tracked: 3
elapsed time: 0.0456853; featured found: 20; features tracked: 3
elapsed time: 0.04601; featured found: 18; features tracked: 7
elapsed time: 0.045805; featured found: 10; features tracked: 4
elapsed time: 0.0460171; featured found: 23; features tracked: 3
elapsed time: 0.0460892; featured found: 8; features tracked: 7
elapsed time: 0.0466711; featured found: 24; features tracked: 5
elapsed time: 0.0463637; featured found: 14; features tracked: 12
elapsed time: 0.0464471; featured found: 15; features tracked: 8
elapsed time: 0.0509724; featured found: 23; features tracked: 9
elapsed time: 0.0468544; featured found: 65; features tracked: 9
elapsed time: 0.0496949; featured found: 37; features tracked: 19
elapsed time: 0.0474991; featured found: 41; features tracked: 14
elapsed time: 0.0472935; featured found: 61; features tracked: 22
elapsed time: 0.0480464; featured found: 74; features tracked: 27
elapsed time: 0.0491358; featured found: 105; features tracked: 34
elapsed time: 0.0478886; featured found: 55; features tracked: 28
elapsed time: 0.0469663; featured found: 34; features tracked: 17
elapsed time: 0.0473049; featured found: 91; features tracked: 18
elapsed time: 0.0487642; featured found: 87; features tracked: 18
elapsed time: 0.0475991; featured found: 48; features tracked: 25
elapsed time: 0.0473186; featured found: 52; features tracked: 18
elapsed time: 0.0481814; featured found: 97; features tracked: 22
elapsed time: 0.0474558; featured found: 31; features tracked: 22
elapsed time: 0.0471049; featured found: 53; features tracked: 15
elapsed time: 0.0468944; featured found: 47; features tracked: 17
elapsed time: 0.0469765; featured found: 45; features tracked: 20
elapsed time: 0.0475734; featured found: 67; features tracked: 18
elapsed time: 0.0481144; featured found: 56; features tracked: 26
elapsed time: 0.0470764; featured found: 44; features tracked: 24
elapsed time: 0.0470008; featured found: 45; features tracked: 16
elapsed time: 0.0465239; featured found: 29; features tracked: 12
elapsed time: 0.0464566; featured found: 30; features tracked: 13
elapsed time: 0.046892; featured found: 52; features tracked: 12
elapsed time: 0.0477016; featured found: 68; features tracked: 23
elapsed time: 0.0487324; featured found: 106; features tracked: 23
elapsed time: 0.0514323; featured found: 147; features tracked: 34
elapsed time: 0.0536449; featured found: 146; features tracked: 47
elapsed time: 0.0519419; featured found: 126; features tracked: 49
elapsed time: 0.050899; featured found: 108; features tracked: 32
elapsed time: 0.0511104; featured found: 122; features tracked: 42
elapsed time: 0.0500744; featured found: 103; features tracked: 37
elapsed time: 0.0503979; featured found: 85; features tracked: 30
elapsed time: 0.0507344; featured found: 142; features tracked: 34
elapsed time: 0.0501548; featured found: 84; features tracked: 35
elapsed time: 0.0487301; featured found: 87; features tracked: 22
elapsed time: 0.0487; featured found: 74; features tracked: 26
elapsed time: 0.0499083; featured found: 142; features tracked: 22
elapsed time: 0.0472644; featured found: 28; features tracked: 19
elapsed time: 0.0469222; featured found: 59; features tracked: 8
elapsed time: 0.0482184; featured found: 81; features tracked: 24
elapsed time: 0.049481; featured found: 92; features tracked: 26
elapsed time: 0.0486785; featured found: 67; features tracked: 32
elapsed time: 0.0495896; featured found: 129; features tracked: 34
elapsed time: 0.0509168; featured found: 118; features tracked: 41
elapsed time: 0.0502504; featured found: 111; features tracked: 49
elapsed time: 0.0483602; featured found: 68; features tracked: 36
elapsed time: 0.0475929; featured found: 65; features tracked: 25
elapsed time: 0.047284; featured found: 59; features tracked: 27
elapsed time: 0.0468035; featured found: 72; features tracked: 23
elapsed time: 0.047306; featured found: 61; features tracked: 31
